date,open,close,low,high,open_normalized,close_normalized,low_normalized,high_normalized
2014-03-24,360.09,351.85,348.6,361.5,0.04315992952084438,0.0370315424293605,0.037362637362637376,0.04038452797600108
2014-03-25,354.03,354.71,348.84,358.97,0.03970439810458969,0.038663440909298394,0.03750144592249854,0.038947093313940286
2014-03-26,357.13,343.41,343.4,357.6,0.04147207919211273,0.032215730131921326,0.03435511856564487,0.03816871960365439
2014-03-27,343.15,338.47,330.88,344.0,0.03350040770708954,0.029396996393846738,0.027113938692886058,0.03044179810008635
2014-03-28,340.05,338.29,336.08,347.0,0.03173272661956654,0.029294289496507985,0.030121457489878534,0.032146266078814593
2014-03-31,342.4,336.37,334.06,346.29,0.0330727429278501,0.028198749258227972,0.028953152111046848,0.03174287532384892
2014-04-01,338.09,342.99,338.0,344.43,0.030615095996487443,0.031976080704797565,0.031231925968768073,0.030686105177037404
2014-04-02,345.99,341.96,340.38,348.3,0.03511983167114291,0.03138836901447026,0.032608444187391554,0.03288486886959684
2014-04-03,341.82,333.62,328.46,342.5,0.03274201549857161,0.026629616104441513,0.025714285714285703,0.029589564110722232
2014-04-04,335.15,323.0,315.61,335.44,0.028938650061868836,0.02056990916145525,0.018282244071717763,0.025578382800781774
2014-04-07,320.99,317.76,313.13,324.94,0.020864339029828212,0.017579997261149408,0.016847888953152108,0.019612744875232936
2014-04-08,321.88,327.07,318.44,328.0,0.021371834567859006,0.022892226229059207,0.01991902834008097,0.02135130221353574
2014-04-09,328.47,331.81,322.5,332.18,0.02512958242810958,0.025596841192312966,0.022267206477732792,0.02372619426389709
2014-04-10,330.6,317.11,316.5,331.0,0.02634415040114959,0.01720911124298171,0.018796992481203006,0.02305577019226398
2014-04-11,314.0,311.73,309.5,316.5,0.016878503287316615,0.01413931620030129,0.014748409485251591,0.014817508295077489
2014-04-14,317.67,315.91,311.28,320.48,0.018971209607061622,0.016524398594056716,0.01577790630422208,0.017078769146856965
2014-04-15,316.7,316.08,305.5,318.28,0.018418096492578598,0.0166213995526544,0.012434933487565067,0.015828825962456227
2014-04-16,321.17,323.68,314.71,324.0,0.02096697857684568,0.02095791299584609,0.017761711972238275,0.019078678241898087
2014-04-17,319.76,324.91,319.76,328.66,0.020162968791875516,0.021659743460994224,0.02068247541931752,0.02172628516885597
2014-04-21,323.97,330.87,322.31,331.15,0.022563593752672934,0.025060482950655053,0.022157316367842683,0.02314099359120038
2014-04-22,332.0,329.32,328.94,337.5,0.027142457989063198,0.024176062445793584,0.025991902834008096,0.026748784146175167
2014-04-23,333.06,324.58,323.39,333.13,0.027746890877054942,0.021471447482539825,0.02278195488721804,0.024265942457161026
2014-04-24,329.67,337.15,322.95,337.4,0.025813846074892677,0.02864381248002921,0.02252747252747252,0.02669196854688421
2014-04-25,316.25,303.83,302.71,316.49,0.01816149762503494,0.009631624594878346,0.010821283979178704,0.014811826735148399
2014-04-28,304.0,296.58,288.0,304.39,0.011176306230790736,0.005494819007623132,0.002313475997686524,0.007937139220944486
2014-04-29,296.44,300.38,290.45,301.84,0.006865445256057171,0.007663075729218975,0.0037304800462695134,0.006488341439025476
2014-04-30,298.1,304.13,298.1,304.56,0.007812009967440481,0.009802802757109604,0.00815500289184501,0.008033725739739095
2014-05-01,304.13,307.89,304.0,310.48,0.01125043479252557,0.01194823572374127,0.01156737998843262,0.01139720921776283
2014-05-02,310.42,308.01,304.31,313.29,0.01483711674108036,0.012016706988633772,0.011746674378253327,0.012993727557838283
2014-05-05,306.37,310.05,305.0,310.23,0.012527726933187372,0.013180718491806286,0.012145748987854251,0.011255170219535477
2014-05-06,309.53,297.38,297.04,309.81,0.014329621203049533,0.005951294106906473,0.00754193175245808,0.011016544702513514
2014-05-07,295.56,292.71,286.68,296.4,0.006363651915082895,0.00328662071484,0.001550028918449975,0.003397572837598269
2014-05-08,290.82,288.32,287.23,295.88,0.0036608105102896235,0.0007817136075227122,0.0018681318681318788,0.0031021317212853844
2014-05-09,290.57,292.24,284.38,293.68,0.0035182555838764768,0.0030184415940110584,0.00021978021978021715,0.001852188536884682
